iter	RMSE
0	0.4870529973
1	0.4863212597
2	0.4850160704
3	0.4839406186
4	0.4827068464
5	0.481798477
6	0.4807613808
7	0.4796866894
8	0.4789977025
9	0.4776021894
10	0.4762579715
11	0.4754716723
12	0.4748776543
13	0.4738950193
14	0.4727724337
15	0.471862747
16	0.4709790611
17	0.470221935
18	0.4694537426
19	0.4685586837
20	0.4678047049
21	0.4668225943
22	0.4655571028
23	0.464741515
24	0.4637900555
25	0.4629310077
26	0.4621556764
27	0.4611790042
28	0.460545315
29	0.4600711735
30	0.459059589
31	0.4587129944
32	0.4579591163
33	0.4570373882
34	0.4564319106
35	0.4557576993
36	0.4550109785
37	0.4545277719
38	0.4539497472
39	0.4530726222
40	0.4524563549
41	0.452101433
42	0.4514603489
43	0.4509171634
44	0.4502495995
45	0.4496214361
46	0.44908261
47	0.4486808348
48	0.4482060663
49	0.4477701614
50	0.4471636701
51	0.446726686
52	0.4459240286
53	0.4454373121
54	0.4447222956
55	0.4442480973
56	0.4440300311
57	0.4434845985
58	0.4430442697
59	0.4425361136
60	0.4422404899
61	0.4418826737
62	0.4415086363
63	0.4412235943
64	0.440874511
65	0.4403700615
66	0.4399000073
67	0.439437413
68	0.4389292958
69	0.4386178813
70	0.4380354959
71	0.4376854384
72	0.4373451064
73	0.4368916673
74	0.4364420699
75	0.4361382992
76	0.4358675305
77	0.4356596574
78	0.4351561058
79	0.4347045361
80	0.434212776
81	0.4339460309
82	0.43346019
83	0.4330283503
84	0.4326657392
85	0.4324567022
86	0.4319597324
87	0.4317114428
88	0.4313293566
89	0.431110824
90	0.430832594
91	0.4303128006
92	0.4298916697
93	0.4295713787
94	0.4293097629
95	0.42898234
96	0.4286374276
97	0.4282881962
98	0.4279622606
99	0.4276660821
100	0.4270961862
101	0.4266660524
102	0.4264077791
103	0.4260061653
104	0.4256741533
105	0.4252958345
106	0.4250155769
107	0.4247066394
108	0.4243398943
109	0.4241345961
110	0.4236127283
111	0.4233522707
112	0.4230476052
113	0.4227150778
114	0.4223184453
115	0.4219809706
116	0.4217082969
117	0.4212257749
118	0.4208509269
119	0.420450301
120	0.420133851
121	0.4198559083
122	0.4197573463
123	0.4194783793
124	0.4192081828
125	0.4189542152
126	0.4186506992
127	0.4182544239
128	0.4178759215
129	0.4175760407
130	0.4172302605
131	0.4170428905
132	0.4167427676
133	0.4164509995
134	0.4161145819
135	0.4157728302
136	0.4154726443
137	0.4152476629
138	0.41500775
139	0.4147760502
140	0.4143799065
141	0.413997537
142	0.4137496142
143	0.4134521998
144	0.4131996986
145	0.412811617
146	0.4125828575
147	0.4123216131
148	0.4120728721
149	0.4118198318
150	0.4115293121
151	0.411212538
152	0.4108799855
153	0.4107125048
154	0.4103151025
155	0.4101780533
156	0.4098837314
157	0.4095841894
158	0.4094131269
159	0.4091245618
160	0.4088475632
161	0.4084531033
162	0.4082160826
163	0.4077536854
164	0.4075591206
165	0.4072738203
166	0.407041347
167	0.4068307657
168	0.4064769246
169	0.4061513745
170	0.4057065192
171	0.4054427732
172	0.4052123028
173	0.4049203748
174	0.4045477383
175	0.4043474088
176	0.4040804962
177	0.4038242125
178	0.4035107206
179	0.4032415317
180	0.403039816
181	0.4027050931
182	0.4025505288
183	0.4020922942
184	0.4018142617
185	0.4016644772
186	0.4014215964
187	0.4012648292
188	0.4010579476
189	0.4008115063
190	0.4005570463
191	0.4002654824
192	0.4000094691
193	0.3997194885
194	0.3995395885
195	0.3993647714
196	0.3991742348
197	0.3988327731
198	0.3983243829
199	0.398191592
200	0.3979417002
201	0.3976940441
202	0.3974400868
203	0.3972589695
204	0.3971628535
205	0.3969045433
206	0.3966552963
207	0.3963720397
208	0.3961137876
209	0.3957198979
210	0.3953816118
211	0.3950705328
212	0.3947152354
213	0.3945712172
214	0.3944007475
215	0.3940048576
216	0.393752387
217	0.3935535055
218	0.3933007334
219	0.3930045426
220	0.3927125184
221	0.3924356566
222	0.3921330753
223	0.3917682424
224	0.3914473473
225	0.3911661559
226	0.3908744953
227	0.3906041598
228	0.3904176399
229	0.3901298858
230	0.3899058458
231	0.3896713995
232	0.3894028888
233	0.389184472
234	0.3885341272
235	0.3881464328
236	0.387939842
237	0.3876266776
238	0.3873176629
239	0.3871355612
240	0.3869078372
241	0.3865612477
242	0.3864117052
243	0.3862320895
244	0.3858631297
245	0.3857804196
246	0.3855009526
247	0.3852863655
248	0.3849063592
249	0.3845975607
250	0.3843892782
251	0.3841878648
252	0.3837620793
253	0.3833054234
254	0.3830111229
255	0.382869404
256	0.3826738524
257	0.3823209348
258	0.3820552494
259	0.3817714205
260	0.3815687322
261	0.3813044711
262	0.3810581918
263	0.3807707558
264	0.3806588289
265	0.3801699452
266	0.3797971687
267	0.3795977294
268	0.3793581294
269	0.3790035105
270	0.3787602053
271	0.3784988663
272	0.3781632438
273	0.3778553162
274	0.3774805243
275	0.3771902543
276	0.3769128284
277	0.3766864072
278	0.3763627897
279	0.376131181
280	0.3758588185
281	0.3754652222
282	0.3750266858
283	0.3746081211
284	0.3742948081
285	0.3738953732
286	0.3736344899
287	0.3734144438
288	0.3732562438
289	0.3729864137
290	0.3726334343
291	0.3724634297
292	0.3722286016
293	0.3720208469
294	0.3717987272
295	0.3715920854
296	0.3713209606
297	0.3711527843
298	0.3708973615
299	0.3705107228
300	0.3703836784
301	0.3702509453
302	0.370029742
303	0.369815781
304	0.3695244864
305	0.369292054
306	0.3689763487
307	0.368648491
308	0.368393844
309	0.3681473183
310	0.3677858912
311	0.3675065844
312	0.3671696853
313	0.3669322384
314	0.3666399164
315	0.366319112
316	0.3660926643
317	0.365887558
318	0.3657574782
319	0.3655534196
320	0.3653947916
321	0.3652157865
322	0.3650893552
323	0.3649356337
324	0.364636877
325	0.3644623219
326	0.3642491511
327	0.3640422726
328	0.3636678472
329	0.3633792163
330	0.3630641011
331	0.3628912859
332	0.3627222632
333	0.3625403885
334	0.3622663082
335	0.3619923992
336	0.361710875
337	0.361464053
338	0.3611306906
339	0.3609250684
340	0.3606796875
341	0.3604683468
342	0.36013224
343	0.3599001199
344	0.3595666496
345	0.3593712338
346	0.3590114312
347	0.3588183225
348	0.3586345227
349	0.3584846712
350	0.3582621874
351	0.3580251204
352	0.357779726
353	0.3575437063
354	0.3573689092
355	0.3571803442
356	0.3568602939
357	0.3566580706
358	0.356390977
359	0.3562569056
360	0.3560816336
361	0.3558486886
362	0.3556169168
363	0.3554651141
364	0.3553437912
365	0.3551241112
366	0.3549180838
367	0.3547727678
368	0.3546273023
369	0.3544213027
370	0.354175832
